Title,Company,Location,Salary,Summary,Job URL
Sr. Recruiting Data Analyst,Gallo,"Modesto, CA 95354",N/A,N/A,https://www.indeed.com/rc/clk?jk=1c329d7fe6e6f30c&bb=E60Iq1TI3FhzbE2N8T3rO7mazH54IkRZwYxDaeVfLfWD4r1LA--Dgf31GC_ZCF98_SUPalfp6TQxovcNYuoH6GHNbZOuOO8QQaZyew9lbYbQuf0pLtPffw%3D%3D&xkcb=SoBb67M30H6RJrwpXJ0KbzkdCdPP&fccid=ad8550f9c12a770a&vjs=3
Postdoctoral Scholar in Artificial Intelligence Systems and Applications,University of California Merced,"Merced, CA 95343",N/A,N/A,https://www.indeed.com/rc/clk?jk=31fe1e1f3cf67925&bb=E60Iq1TI3FhzbE2N8T3rOyM8-xkRaDea4aksyRbsZGy3NuvdztahJOeTxWs2rUooR0OlQhnc5pxCBhMzsfVRAGTkoyU2wxpKSP21Ze9BhSOqMqcd_wuF_SrJb7eZqbAb&xkcb=SoDG67M30H6RJrwpXJ0JbzkdCdPP&fccid=0edd87f0624ec288&vjs=3
Postdoctoral Scholar in Artificial Intelligence Systems and Applications,University of California Merced,"Merced, CA 95343",N/A,N/A,https://www.indeed.com/rc/clk?jk=31fe1e1f3cf67925&bb=oLwxswUkHM6T5S7gCPM9w8ppAvXFDoA4By-ICjX4v85xZm6pXqW95_MU9lIg535Eujo6DL_zuDBp2G9O9NrRGZ8D9egRpESTt8lgFRS-xhMzjwwfPt14HIFRLrGDVu_2&xkcb=SoCZ67M30H6QI-3Vqp0LbzkdCdPP&fccid=0edd87f0624ec288&vjs=3
FBI Special Agent: Data Science & Intelligence Expertise,Federal Bureau of Investigation,United States,N/A,N/A,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5o2Oz3HqsSm2luAX6nIBL6zkznp9GLNwT6U20ynRgySuxkNALEzP-JLgS8JtleDdCQB1LTUoF7iVZ9l7chumaoMNmf9IlgSH2ZpXOSrmB01Q36G61Dt7S0ZVlF3f83XMJU1TWD4_7YicsdVRMbWMSGSPTmed6JQShAmO0VDrtPV3KQIR80Srta0OBSsadWr9GNs7S-jqaba782V2Zts8AaUlNyOieYjBuq5xWZL38AE4LkKpDRz5EFEJmxUKe6zffL2Eh3529NPrIRTNj0ErAFi4W0f__lKmpYsQkUTgHiO9RyLAB7y1j84dzEKWl9v1STLrU2kK72Ykrp5Hf24eStXdHlyVVZVX_bCq88YiPChyI9iCdLqDFmzxcnD5SWtTCYm8aZEPEeIatcJHF660zneZ01gkP_zMELWLiTteoLmthrJx80eXEVvQzrVzexypPB8e_Z4bfgHcXUCdJuCAw0TzWyKtcf3FwdXfGbAq52qSkJCDzoLwJMEw3kjSGcfjgyj1UMZ62NOdr5M3yTM9qO1_apcB5MxAqTsvlIJmwKk5ymG46mHQfx6grlQ2kmdDaUQQCFuD5wriEeydw7GrBkmNiVxr1UuatQlxBZfhwx-LchxZZzNNuBT9y4A_6se-9PBFm7GwzsQVs4E__wAH7YfROVKkfDvLUkcAeUeDLN8jjzpxaWauD_0zkR8WzdWAYoQVZVk2sWCfYRU41aF2MlnOT1QNyflGLzt6QhadWSCgCPdEcUJrIu0Ih729wc2ZsBqhR3wo9b8XSMVKp4ds5XAb6Y37u2888v9fLw03TzOXzDvIDpL-J7n5SfaqJ1kXGQdX00innG4sCG3KpKkPr_Q1Mn6znD0wV5M3ddFb5hA4kYRDc3p2ZdBUQYxQj5UZRu4xGCFwaflKOAboTeULNcTmDV0snHnEjxtuG8Ez1q1YYttj646L0MaXXoTn7jfWaSl9q3jN9AoGz-v6svwKPnshWaLB3a4fHmcqgSix6lWNAqY2vA3Uv&xkcb=SoDZ6_M30H6QI-3Vqp0KbzkdCdPP&camk=ethIe0s0hedfxg40E1NzRQ==&p=1&fvj=0&vjs=3
FBI Special Agent: Advanced Data & Intelligence Expertise,Federal Bureau of Investigation,United States,N/A,N/A,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5o2Oz3HqsSm2luAX6nIBL6zkznp9GLNwT6U20ynRgySuxkNALEzP-WGpVK6orB5lsxuFLc8MvbD0I0maq-0KmRdLsfUYpYnmMu0XNc1YLwLZjcsIiBKN0IimIKI2qFFrmePo6B6kKjI8lDzSAYvGhL-T2otzj4Avt_Pfbr365DuT3JSFUIQtkphgqUbvbwRGH9bh9IBo_WLLCqncBSXnxexVm4pb9on5DIf_8RAvDy5PAm7fyiHd758Uoz90ryb0zMXzlKinR3jEzM5rS9g617Ub13rf_pkuzkD5hfHf0DQLQaGhbpyq6SUagQefRa6ECnVlwjQdO84-XKHc9diop1x0j9Qes3sPcyk0oa-G6KDLQbvU38NUhQKv3jChqNY0oRexUBNZfTMrhSb3yTwbGKz4ijYrIvh2Xqy2iE6osybAOcXwZ8DKSFp7h3vvy7lwhgF1Eiu9iKB2rdOMkY7ikhl9PP7xCeJzY5STL6mCHTlFNGOvo0axOZ3_iv92trvlZPByw9wgiyiiOsVTmcR2ntP75_lsj4j4pw03YBTwe-MxpxofiSCikSSXTBnR_pzYSnqw92R_UsO8udUhOo31way4cpmYiYBcYtORb1Rqcb37sgFFqVTw_60whJg6r_Huj-wwpICxJZbuur9hSKOU8KT9XbIcQupJchiVjLvljCqJpY2ooeBi1quDPBEQ74DA-cg0qSJ-4BmHPfgJ2DUF4NhrX2O_lUoJWQcuWNeUR5eCPv-29kx8fGwT8mvPhBWaxWEhGoeF39a0IIYYOV15ijFTIunItsu99wTuDsELUciLhg67bnjY0hUkr7xjTGBVQ4Pcmw3axJVRORWKank3GD9YKyGuH061f_zoRX1ICMRZHgvg1oqIP7bSsAuaexHzzBr6bvogOnKET8TREHBK3afka_vGSTJXn1WdNVsD1Oj8gi9X7hdXEFMl1nU4mjVEtyTk8w7Nft8Px4g5S4Cc-ew3t2_IU7xFOQvX-gjtwZLNZKTQmmHrV&xkcb=SoBE6_M30H6QI-3Vqp0JbzkdCdPP&camk=ethIe0s0heeDG7eeoMGiTw==&p=2&fvj=0&vjs=3
Data Scientist Positions,Princeton University,"Princeton, NJ 08544",N/A,N/A,https://www.indeed.com/rc/clk?jk=805c7afa991f4a8b&bb=br-PLNfMYUnWvcYyjxBKVzwg-gV80MKgzqMSyNp_RBFs3qfLrInwKc3DZA8g91NZTt_Uq79UkHnjrw6UTlaIYs4KAyZ1w7nbhPh4h_5_dwSyVB4H49hdZQ%3D%3D&xkcb=SoD967M30H6vLTx7ih0LbzkdCdPP&fccid=329dd051ee52db36&vjs=3
Data Scientist,"Intermedia.net, Inc.",Remote,N/A,N/A,https://www.indeed.com/rc/clk?jk=99e7e6e588f74bc0&bb=br-PLNfMYUnWvcYyjxBKVwtjYA9g6U-aKz_3BVl6SdnI6TL4VaQMkCmbLjhOmwWqEy_EEjmZ0W401ZJXCjobzqUgr_OQ8J0w7RSvR0Hsh6FdqNKwLSg31BcQr3MR5B0Z&xkcb=SoBJ67M30H6vLTx7ih0KbzkdCdPP&fccid=ecc7b9c92817a401&vjs=3
Atmospheric Data Scientist,UC San Diego,"San Diego, CA",N/A,N/A,https://www.indeed.com/rc/clk?jk=a28322b123c4dd06&bb=br-PLNfMYUnWvcYyjxBKVzRlQtMim3ZSuva1ybtpba-HZzOgCCuMG1uvpXgt_BmIzrZBT5iz61yVg7H2SfKMQ5WzMZcKimDJhbQGgTpC3HB-KzhCSP_gNA%3D%3D&xkcb=SoDU67M30H6vLTx7ih0JbzkdCdPP&fccid=10b5a4abcc6bf067&vjs=3
Senior Data Scientist,Brown University,"Providence, RI 02912",N/A,N/A,https://www.indeed.com/rc/clk?jk=22bcb83ec9f3736b&bb=br-PLNfMYUnWvcYyjxBKV2jnZ_bcSmYMsaKZ-ZXXxN5-euH0vPY9mYisCYv864gZ1JKSzxrgi0B9YwHhzCZ39YIUqIs2UplwIs_TRdDF7SI7DQLy5z6G-DOXq7WGCe3r&xkcb=SoBg67M30H6vLTx7ih0IbzkdCdPP&fccid=f9fa79636b191cd1&vjs=3
Data Scientist - Insurance Modeling,Allstate,Remote,N/A,N/A,https://www.indeed.com/rc/clk?jk=6a4453997b6215eb&bb=br-PLNfMYUnWvcYyjxBKV0qdELFLuysCP3w24VNC3mQE-9cJ-7_4aaKPxxfqSI5Tpgjcng9oNDECg6t9wpDoGtbkwipiEjImSRLcqfrfdZgcDPXt61IRzg%3D%3D&xkcb=SoDu67M30H6vLTx7ih0PbzkdCdPP&fccid=3a71a4d2f7990a25&vjs=3
